YYYYMM,JANCODE,PRODUCT_NAME,MAKER_NAME,SALES_QTY,UNIT_PRICE,SALES_AMOUNT
202201,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,67,598,40066
202202,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,37,598,22126
202203,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,74,598,44252
202204,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,106,598,63388
202205,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,208,598,124384
202206,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,744,598,444912
202207,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,530,598,316940
202208,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,410,598,245180
202209,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,617,598,368966
202210,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,87,598,52026
202211,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,37,598,22126
202212,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,29,598,17342
202301,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,27,598,16146
202302,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,43,598,25714
202303,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,77,598,46046
202304,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,142,598,84916
202305,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,254,598,151892
202306,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,389,598,232622
202307,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,535,598,319930
202308,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,797,598,476606
202309,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,197,598,117806
202310,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,77,598,46046
202311,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,39,598,23322
202312,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,30,598,17940
202401,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,29,598,17342
202402,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,48,598,28704
202403,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,77,598,46046
202404,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,137,598,81926
202405,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,248,598,148304
202406,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,403,598,240994
202407,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,568,598,339664
202408,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,514,598,307372
202409,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,186,598,111228
202410,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,81,598,48438
202411,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,49,598,29302
202412,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,31,598,18538
202501,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,32,598,19136
202502,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,43,598,25714
202503,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,71,598,42458
202504,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,123,598,73554
202505,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,296,598,177008
202506,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,365,598,218270
202507,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,556,598,332488
202508,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,423,598,252954
202509,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,231,598,138138
202510,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,87,598,52026
202511,4902806450057,Ban デオドラントパウダースプレー せっけん 135g,ライオン,43,598,25714
